nu (cm^-1),absorbance
4.383207521000000270e+03,1.451642292430087022e-01
4.383208521000000474e+03,1.454555936308836173e-01
4.383209521000000677e+03,1.457415031820011031e-01
4.383210520999999972e+03,1.460207873087357167e-01
4.383211521000000175e+03,1.462923147764543241e-01
4.383212521000000379e+03,1.465550235530088674e-01
4.383213521000000583e+03,1.468078956042314365e-01
4.383214520999999877e+03,1.470499860844291518e-01
4.383215521000000081e+03,1.472804251903598038e-01
4.383216521000000284e+03,1.474984249679657800e-01
4.383217521000000488e+03,1.477032855959352631e-01
4.383218521000000692e+03,1.478944010196066305e-01
4.383219520999999986e+03,1.480712638149080107e-01
4.383220521000000190e+03,1.482334691664033421e-01
4.383221521000000394e+03,1.483807178486884482e-01
4.383222521000000597e+03,1.485128181176821605e-01
4.383223520999999892e+03,1.486296869783413355e-01
4.383224521000000095e+03,1.487313465416431058e-01
4.383225521000000299e+03,1.488179291858426900e-01
4.383226521000000503e+03,1.488896668139038371e-01
4.383227521000000706e+03,1.489468906114107538e-01
4.383228521000000001e+03,1.489900245004571189e-01
4.383229521000000204e+03,1.490195865294171307e-01
4.383230521000000408e+03,1.490361464844600636e-01
4.383231521000000612e+03,1.490417297209057357e-01
4.383232520999999906e+03,1.490343364445322893e-01
4.383233521000000110e+03,1.490161104383577184e-01
4.383234521000000314e+03,1.489878039073334604e-01
4.383235521000000517e+03,1.489502681423941488e-01
4.383236521000000721e+03,1.489043427471227754e-01
4.383237521000000015e+03,1.488508696241773177e-01
4.383238521000000219e+03,1.487906798918609830e-01
4.383239521000000423e+03,1.487245831102333715e-01
4.383240521000000626e+03,1.486533561064126707e-01
4.383241520999999921e+03,1.485777326174738955e-01
4.383242521000000124e+03,1.484983937392595210e-01
4.383243521000000328e+03,1.484159593202062921e-01
4.383244521000000532e+03,1.483309754524321511e-01
4.383245521000000736e+03,1.482439278253240011e-01
4.383246521000000030e+03,1.481552072791154917e-01
4.383247521000000233e+03,1.480651253649855059e-01
4.383248521000000437e+03,1.479739071339721268e-01
4.383249521000000641e+03,1.478816900979453564e-01
4.383250520999999935e+03,1.477885282676182355e-01
4.383251521000000139e+03,1.476944524884551690e-01
4.383252521000000343e+03,1.475992024020248983e-01
4.383253521000000546e+03,1.475026558117467079e-01
4.383254520999999841e+03,1.474045448866600494e-01
4.383255521000000044e+03,1.473045361365836192e-01
4.383256521000000248e+03,1.472058864000068690e-01
4.383257521000000452e+03,1.471008615953412202e-01
4.383258521000000655e+03,1.469928365375829937e-01
4.383259520999999950e+03,1.468808804140219748e-01
4.383260521000000153e+03,1.467646733059578545e-01
4.383261521000000357e+03,1.466436764168784213e-01
4.383262521000000561e+03,1.465173529012068487e-01
4.383263520999999855e+03,1.463851785254497995e-01
4.383264521000000059e+03,1.462466520468290732e-01
4.383265521000000263e+03,1.461013055406824301e-01
4.383266521000000466e+03,1.459487120507108049e-01
4.383267521000000670e+03,1.457885214438092158e-01
4.383268520999999964e+03,1.456203669107347942e-01
4.383269521000000168e+03,1.454440210085776175e-01
4.383270521000000372e+03,1.452593016835147521e-01
4.383271521000000575e+03,1.450661012732130661e-01
4.383272520999999870e+03,1.448643894013774969e-01
4.383273521000000073e+03,1.446551216511008098e-01
4.383274521000000277e+03,1.444402147548037030e-01
4.383275521000000481e+03,1.442164328866048506e-01
4.383276521000000685e+03,1.439819533772294935e-01
4.383277520999999979e+03,1.437400407972484750e-01
4.383278521000000183e+03,1.434910002751419444e-01
4.383279521000000386e+03,1.432353777419357599e-01
4.383280521000000590e+03,1.429737179779075051e-01
4.383281520999999884e+03,1.427066164927007497e-01
4.383282521000000088e+03,1.424346608439500395e-01
4.383283521000000292e+03,1.421586299331255299e-01
4.383284521000000495e+03,1.418791795384071741e-01
4.383285521000000699e+03,1.415999388075309118e-01
4.383286520999999993e+03,1.413158506642517021e-01
4.383287521000000197e+03,1.410305645050013157e-01
4.383288521000000401e+03,1.407448323834207815e-01
4.383289521000000605e+03,1.404594016136183898e-01
4.383290520999999899e+03,1.401750092516102220e-01
4.383291521000000103e+03,1.398923765540670550e-01
4.383292521000000306e+03,1.396122073119273332e-01
4.383293521000000510e+03,1.393351772498756247e-01
4.383294521000000714e+03,1.390619465575931024e-01
4.383295521000000008e+03,1.387931379019285427e-01
4.383296521000000212e+03,1.385293476471937957e-01
4.383297521000000415e+03,1.382711418057693264e-01
4.383298521000000619e+03,1.380190557246738503e-01
4.383299520999999913e+03,1.377734188846571894e-01
4.383300521000000117e+03,1.375351224230194624e-01
4.383301521000000321e+03,1.373043068006795375e-01
4.383302521000000525e+03,1.370850123954709676e-01
4.383303521000000728e+03,1.368705203304655393e-01
4.383304521000000022e+03,1.366647565168639944e-01
4.383305521000000226e+03,1.364680681130685524e-01
4.383306521000000430e+03,1.362808460797877153e-01
4.383307521000000634e+03,1.361032710770555543e-01
4.383308520999999928e+03,1.359356996800377693e-01
4.383309521000000132e+03,1.357784175489939738e-01
4.383310521000000335e+03,1.356316745120027811e-01
4.383311521000000539e+03,1.354957324797947116e-01
4.383312520999999833e+03,1.353708733674161002e-01
4.383313521000000037e+03,1.352572569290415305e-01
4.383314521000000241e+03,1.351552742917543626e-01
4.383315521000000444e+03,1.350648940714072599e-01
4.383316521000000648e+03,1.349865009508318670e-01
4.383317520999999942e+03,1.349201926236305304e-01
4.383318521000000146e+03,1.348662326273116774e-01
4.383319521000000350e+03,1.348248160549483932e-01
4.383320521000000554e+03,1.347961317669109094e-01
4.383321520999999848e+03,1.347803621214428704e-01
4.383322521000000052e+03,1.347776885591465967e-01
4.383323521000000255e+03,1.347882672718345720e-01
4.383324521000000459e+03,1.348122986729631823e-01
4.383325521000000663e+03,1.348498659779280018e-01
4.383326520999999957e+03,1.349011458735562830e-01
4.383327521000000161e+03,1.349662705795141582e-01
4.383328521000000364e+03,1.350453626790955874e-01
4.383329521000000568e+03,1.351385323060358135e-01
4.383330520999999862e+03,1.352458776958340159e-01
4.383331521000000066e+03,1.353674840273142999e-01
4.383332521000000270e+03,1.355034225745803400e-01
4.383333521000000474e+03,1.356537501986339322e-01
4.383334521000000677e+03,1.358185069860375349e-01
4.383335520999999972e+03,1.359977175001083338e-01
4.383336521000000175e+03,1.361913883683979476e-01
4.383337521000000379e+03,1.363995075551205638e-01
4.383338521000000583e+03,1.366220434107100201e-01
4.383339520999999877e+03,1.368589783866298315e-01
4.383340521000000081e+03,1.371101682983359715e-01
4.383341521000000284e+03,1.373755819079031937e-01
4.383342521000000488e+03,1.376550328566137904e-01
4.383343521000000692e+03,1.379484058710566396e-01
4.383344520999999986e+03,1.382555259232720046e-01
4.383345521000000190e+03,1.385760370934255303e-01
4.383346521000000394e+03,1.389100052216061809e-01
4.383347521000000597e+03,1.392570190043135037e-01
4.383348520999999892e+03,1.396167800945728454e-01
4.383349521000000095e+03,1.399889556690041836e-01
4.383350521000000299e+03,1.403731769871287560e-01
4.383351521000000503e+03,1.407690380310475109e-01
4.383352521000000706e+03,1.411760941361631105e-01
4.383353521000000001e+03,1.415938609265015302e-01
4.383354521000000204e+03,1.420218399189083491e-01
4.383355521000000408e+03,1.424594109003236853e-01
4.383356521000000612e+03,1.429060739990017925e-01
4.383357520999999906e+03,1.433610152905014368e-01
4.383358521000000110e+03,1.438236201637995704e-01
4.383359521000000314e+03,1.442931517686364407e-01
4.383360521000000517e+03,1.447688318850677280e-01
4.383361521000000721e+03,1.452498413494208995e-01
4.383362521000000015e+03,1.457353220415605333e-01
4.383363521000000219e+03,1.462243788068541550e-01
4.383364521000000423e+03,1.467160836749206720e-01
4.383365521000000626e+03,1.472094721411444929e-01
4.383366520999999921e+03,1.477035570667319664e-01
4.383367521000000124e+03,1.481973416223042739e-01
4.383368521000000328e+03,1.486897629808262844e-01
4.383369521000000532e+03,1.491797916494230769e-01
4.383370521000000736e+03,1.496663744736250190e-01
4.383371521000000030e+03,1.501484564965242796e-01
4.383372521000000233e+03,1.506249875491966206e-01
4.383373521000000437e+03,1.510949291791457150e-01
