 61 4383.237617 2.013E-27 1.845E-04.04600.061 1418.09890.61-.008700    0 1 1 0 1F1    0 0 0 0 1A1   15F2184        16F1  4     334332453638 7 1 7    93.0   99.0
 61 4383.260502 9.340E-27 1.683E-03.04500.060 1593.56160.61-.008700    1 0 0 1 1F2    0 0 0 0 1A1   18F1 95        17F2  2     134332453638 7 1 7   111.0  105.0
 61 4383.279441 4.877E-24 1.873E-01.04600.063 1252.02760.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 96        15F1  4     234332333638 7 1 7    99.0   93.0
 61 4383.289031 8.505E-26 3.792E-02.04500.059 1779.98440.60-.008700    0 2 0 1 1F1    0 0 0 0 1A1   18F1173        18F2  3     134332333638 7 1 7   111.0  111.0
 61 4383.291096 2.674E-27 2.777E-03.04400.058 1975.01230.60-.008700    0 1 0 2 1F2    0 0 0 0 1A1   20F1 98        19F2  2     134332453638 7 1 7   123.0  117.0
 61 4383.307796 1.518E-26 7.122E-03.04500.059 1779.02440.60-.008700    0 1 1 0 1F2    0 0 0 0 1A1   17F1220        18F2  2     134332333638 7 1 7   105.0  111.0
 61 4383.315477 2.732E-27 2.207E-04.04600.061 1417.11980.61-.008700    1 0 0 1 1F2    0 0 0 0 1A1   17F1 96        16F2  1     334332453638 7 1 7   105.0   99.0
 61 4383.315969 7.958E-25 3.046E-02.04600.063 1251.30180.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F1 92        15F2  2     134332333638 7 1 7    99.0   93.0
 61 4383.317929 2.091E-27 5.584E-04.04600.059 1779.59700.60-.008700    0 0 1 1 1F1    0 0 0 0 1A1   18A2 59        18A1  1     134332333638 7 1 7   185.0  185.0
 61 4383.348773 1.371E-26 3.721E-02.04600.058 2182.48320.59-.008700    0 1 0 2 1F2    0 0 0 0 1A1   21F2101        20F1  3     133332453637 7 1 7   129.0  123.0
 61 4383.384779 1.506E-25 1.223E-02.04600.061 1418.13710.61-.008700    0 1 0 2 1F2    0 0 0 0 1A1   17F1 97        16F2  4     134332453638 7 1 7   105.0   99.0
 61 4383.392412 2.499E-25 2.141E-02.04600.061 1417.12920.61-.008700    0 2 0 1 1F2    0 0 0 0 1A1   16F2158        16F1  2     134332453638 7 1 7    99.0   99.0
 61 4383.396128 5.905E-24 3.839E-02.04900.065  950.38500.62-.008700    0 2 0 1 1F1    0 0 0 0 1A1   13A1 42        13A2  1     134332453638 7 1 7   135.0  135.0
 61 4383.420730 5.117E-28 2.155E-04.04500.059 1779.02440.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   19F1101        18F2  2     134332453638 7 1 7   117.0  111.0
 61 4383.424776 1.033E-24 2.090E-01.04600.060 1593.87830.61-.008700    0 1 1 0 1F2    0 0 0 0 1A1   16F1203        17F2  3     334332453638 7 1 7    99.0  105.0
 61 4383.435251 5.187E-28 2.184E-04.04500.059 1779.03020.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   19F2 96        18F1  1     134332453638 7 1 7   117.0  111.0
 61 4383.447729 5.570E-26 1.402E-02.04600.059 1778.20500.60-.008700    0 1 0 2 1F2    0 0 0 0 1A1   19A1 33        18A2  1     134332453638 7 1 7   195.0  185.0
 61 4383.447890 1.342E-24 7.705E-02.03800.063 1251.30760.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16E  63        15E   1     234332333638 7 1 7    66.0   62.0
 61 4383.464433 1.763E-27 1.374E-02.04500.057 2399.47510.58-.008700    0 0 1 1 1F1    0 0 0 0 1A1   21F2201        21F1  5     133332453637 7 1 7   129.0  129.0
 61 4383.480215 5.087E-25 1.030E-01.04600.060 1594.02590.61-.008700    0 1 1 0 1F2    0 0 0 0 1A1   16F2206        17F1  4     334332453638 7 1 7    99.0  105.0
 61 4383.494634 1.711E-26 3.457E-03.04600.060 1593.56160.61-.008700    0 1 1 0 1F2    0 0 0 0 1A1   16F1202        17F2  2     334332453638 7 1 7    99.0  105.0
 61 4383.499945 4.317E-25 1.656E-02.04600.063 1251.80710.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 96        15F1  3     234332333638 7 1 7    99.0   93.0
 61 4383.500702 5.589E-25 2.866E-02.04700.061 1416.55330.61-.008700    0 2 0 1 1F2    0 0 0 0 1A1   16A2 51        16A1  1     134332333638 7 1 7   165.0  165.0
 61 4383.500829 4.290E-27 1.648E-04.04600.063 1252.04610.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F1 95        15F2  4     334332453638 7 1 7    99.0   93.0
 61 4383.506804 2.846E-27 3.326E-02.04500.057 2399.41650.58-.008700    0 0 1 1 1F1    0 0 0 0 1A1   21E 134        21E   3     133332453637 7 1 7    86.0   86.0
 61 4383.512268 3.835E-28 8.929E-03.04400.057 2624.62110.58-.008700    0 1 1 0 1F2    0 0 0 0 1A1   21F2273        22F1  3     133332453637 7 1 7   129.0  135.0
 61 4383.515117 3.145E-26 2.883E-03.04600.061 1418.13710.61-.008700    0 1 1 0 1F1    0 0 0 0 1A1   15F1187        16F2  4     134332333638 7 1 7    93.0   99.0
 61 4383.530635 9.837E-25 2.986E-01.03800.060 1593.92810.61-.008700    0 1 1 0 1F2    0 0 0 0 1A1   16E 136        17E   2     134332333638 7 1 7    66.0   70.0
 61 4383.540899 1.538E-25 2.764E-02.04500.060 1593.04830.61-.008700    1 0 0 1 1F2    0 0 0 0 1A1   18F2 98        17F1  2     234332333638 7 1 7   111.0  105.0
 61 4383.541903 1.479E-27 5.681E-05.04600.063 1252.02760.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 97        15F1  4     334332453638 7 1 7    99.0   93.0
 61 4383.548269 1.079E-27 1.681E-03.03800.058 1975.01460.60-.008700    0 1 0 2 1F2    0 0 0 0 1A1   20E  67        19E   1     134332453638 7 1 7    82.0   78.0
 61 4383.551734 7.990E-27 8.387E-03.04400.058 1977.21470.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   20F2100        19F1  5     134332453638 7 1 7   123.0  117.0
 61 4383.560161 4.932E-27 9.962E-04.04600.060 1593.52290.61-.008700    0 1 1 0 1F2    0 0 0 0 1A1   16F2205        17F1  3     334332453638 7 1 7    99.0  105.0
 61 4383.560669 9.069E-25 3.471E-02.04600.063 1251.30180.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F1 93        15F2  2     234332333638 7 1 7    99.0   93.0
 61 4383.568446 2.935E-24 8.365E-01.03800.060 1593.04460.61-.008700    1 1 0 0 1E     0 0 0 0 1A1   17E 111        17E   1     134332453638 7 1 7    70.0   70.0
 61 4383.575101 1.023E-26 4.321E-03.04500.059 1779.63110.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   19F2 98        18F1  2     134332453638 7 1 7   117.0  111.0
 61 4383.582863 1.578E-26 2.032E-03.03800.061 1417.49930.61-.008700    0 2 0 1 1F2    0 0 0 0 1A1   16E 106        16E   2     134332453638 7 1 7    66.0   66.0
 61 4383.597167 1.306E-24 1.416E-02.04800.065  950.48720.62-.008700    0 2 0 1 1F2    0 0 0 0 1A1   13F1132        13F2  3     334332453638 7 1 7    81.0   81.0
 61 4383.602253 4.039E-26 1.549E-03.04600.063 1251.64660.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F1 94        15F2  3     234332333638 7 1 7    99.0   93.0
 61 4383.602867 1.275E-26 3.460E-02.04600.058 2182.40010.59-.008700    0 1 0 2 1F2    0 0 0 0 1A1   21F1102        20F2  3     133332453637 7 1 7   129.0  123.0
 61 4383.604574 4.098E-27 7.838E-04.04600.060 1594.38310.61-.008700    0 2 0 1 1F2    0 0 0 0 1A1   17F2167        17F1  5     134332453638 7 1 7   105.0  105.0
 61 4383.610164 4.084E-24 7.760E-01.04600.060 1593.04830.61-.008700    1 1 0 0 1E     0 0 0 0 1A1   17F2166        17F1  2     134332453638 7 1 7   105.0  105.0
 61 4383.639973 2.492E-27 1.934E-02.04500.057 2398.56640.58-.008700    1 1 0 0 1E     0 0 0 0 1A1   21F1203        21F2  3     133332453637 7 1 7   129.0  129.0
 61 4383.640045 9.346E-25 1.520E-02.04000.065  950.50490.62-.008700    0 2 0 1 1F2    0 0 0 0 1A1   13E  87        13E   2     134332453638 7 1 7    54.0   54.0
 61 4383.660190 5.500E-27 4.432E-04.04600.061 1416.55400.61-.008700    1 0 0 1 1F2    0 0 0 0 1A1   17F2 95        16F1  1     334332453638 7 1 7   105.0   99.0
 61 4383.664700 1.430E-23 1.928E-02.05000.070  575.05550.64-.008700    0 2 0 1 1F1    0 0 0 0 1A1   10A1 36        10A2  1     234332333638 7 1 7   105.0  105.0
 61 4383.690371 1.060E-27 1.162E-03.04500.058 1975.75900.60-.008700    0 0 1 1 1F1    0 0 0 0 1A1   19F1185        19F2  3     134332453638 7 1 7   117.0  117.0
 61 4383.698949 9.771E-27 2.618E-02.04600.058 2179.81620.59-.008700    0 1 0 2 1F2    0 0 0 0 1A1   21F2100        20F1  1     133332453637 7 1 7   129.0  123.0
 61 4383.706599 6.007E-27 2.414E-02.04600.058 2179.81620.59-.008700    0 1 0 2 1F2    0 0 0 0 1A1   21E  66        20E   1     133332453637 7 1 7    86.0   82.0
 61 4383.709126 3.283E-28 3.623E-04.04500.058 1977.21470.60-.008700    0 2 0 1 1F1    0 0 0 0 1A1   19F2184        19F1  5     134332453638 7 1 7   117.0  117.0
 61 4383.711891 5.678E-27 9.398E-03.03800.058 1977.19730.60-.008700    0 2 0 1 1F1    0 0 0 0 1A1   19E 123        19E   3     134332453638 7 1 7    78.0   78.0
 61 4383.716574 1.934E-26 7.413E-04.04600.063 1251.59050.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 96        15F1  2     234332333638 7 1 7    99.0   93.0
 61 4383.717196 4.847E-26 2.152E-02.04500.059 1779.03020.60-.008700    0 2 0 1 1F1    0 0 0 0 1A1   18F2177        18F1  1     134332453638 7 1 7   111.0  111.0
 61 4383.728840 2.476E-28 4.461E-05.04500.060 1593.52290.61-.008700    1 0 0 1 1F2    0 0 0 0 1A1   18F2 99        17F1  3     134332453638 7 1 7   111.0  105.0
 61 4383.736662 1.477E-26 2.375E-02.04600.058 2179.81590.59-.008700    0 1 0 2 1F2    0 0 0 0 1A1   21A2 34        20A1  1     133332453637 7 1 7   215.0  205.0
 61 4383.741376 4.993E-25 1.009E-01.04600.060 1593.56160.61-.008700    0 1 1 0 1F2    0 0 0 0 1A1   16F1203        17F2  2     334332453638 7 1 7    99.0  105.0
 61 4383.744927 1.665E-26 1.515E-03.04600.061 1416.55400.61-.008700    0 1 1 0 1F1    0 0 0 0 1A1   15F2183        16F1  1     334332453638 7 1 7    93.0   99.0
 61 4383.747567 4.452E-25 4.823E-03.04800.065  950.33680.62-.008700    0 2 0 1 1F2    0 0 0 0 1A1   13F1132        13F2  2     334332453638 7 1 7    81.0   81.0
 61 4383.762403 4.897E-26 1.879E-03.04600.063 1251.80710.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 97        15F1  3     334332453638 7 1 7    99.0   93.0
